"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0400000US28","Mississippi","2984418","*****","2893216","993","1689927","528","1121516","2227","13341","658","29466","995","615","247","3265","763","35086","1777","735","259","34351","1777","91202","993","53290","2111","4107","875","928","319","139","93","65","62","27463","1811","5210","788","2368","412","2842","685"
"0400000US29","Missouri","6104910","*****","5850119","210","4849901","1099","696379","2832","23632","1152","119481","1242","7376","508","9996","1096","143354","3708","3014","582","140340","3668","254791","210","166003","2854","4955","775","3452","599","1173","328","855","284","61339","2823","17014","1482","7881","910","9133","988"
"0400000US30","Montana","1050649","*****","1010335","129","904550","254","4666","410","63738","990","8098","488","776","259","599","233","27908","1158","542","188","27366","1183","40314","129","25654","992","637","323","3101","472","161","71","31","35","6477","869","4253","613","1285","256","2968","512"
"0400000US31","Nebraska","1914571","*****","1706300","105","1512111","452","89872","1348","14417","617","45303","978","1107","212","2015","438","41475","1916","624","207","40851","1884","208271","105","154760","2557","2534","545","3256","587","352","121","220","112","38238","2161","8911","978","4480","693","4431","620"
"0400000US32","Nevada","2972382","*****","2119341","*****","1463237","951","259802","2300","27070","834","237588","2016","18162","544","9537","1366","103945","3561","2849","638","101096","3413","853041","*****","486470","6921","11203","1271","10956","1281","4679","701","1860","554","295410","6915","42463","2843","21168","1695","21295","1855"
"0400000US33","New Hampshire","1348124","*****","1297631","230","1214927","441","18335","770","1816","336","35971","769","348","111","1483","393","24751","986","752","232","23999","962","50493","230","37201","1317","3211","719","220","108","209","137","95","121","6027","1036","3530","542","1247","264","2283","420"
"0400000US34","New Jersey","8878503","*****","7083767","*****","4916380","1722","1125541","3235","9813","672","834073","2292","2286","291","38632","2414","157042","4178","16037","1339","141005","3926","1794736","*****","1101694","8998","69341","3188","9898","1318","6095","867","1172","361","520033","9708","86503","3504","38996","2144","47507","2719"
"0400000US35","New Mexico","2092454","*****","1071637","*****","782269","763","37911","884","182874","1247","30341","797","1189","235","3855","645","33198","1777","2062","470","31136","1742","1020817","*****","783097","5761","6209","726","16971","1490","2236","561","455","192","176783","5478","35066","1791","20190","1281","14876","1435"
"0400000US36","New York","19572319","*****","15851336","*****","10883812","2618","2790504","5386","46034","1584","1633539","3588","5689","664","106445","3942","385313","6185","37072","2400","348241","5786","3720983","*****","1575875","15383","274967","6845","33478","2669","14067","1302","3132","652","1588520","19464","230944","8140","111454","4782","119490","5492"
"0400000US37","North Carolina","10264876","*****","9302211","136","6474688","1594","2165301","4308","112504","1419","290525","2006","5640","495","22962","2407","230591","5102","7516","916","223075","4928","962665","136","575231","8591","35460","2411","11448","1480","2467","457","1573","418","293801","6833","42685","2966","20615","1967","22070","1967"
"0400000US38","North Dakota","756717","*****","728400","136","638985","461","21577","680","38482","763","10876","579","863","420","992","447","16625","1033","138","70","16487","1029","28317","136","16151","1001","408","192","1524","365","130","98","0","22","7117","947","2987","623","1167","359","1820","393"
"0400000US39","Ohio","11655397","*****","11211982","209","9197115","1376","1425887","3999","16946","1173","256584","1819","3193","380","19411","1590","292846","4584","6774","880","286072","4380","443415","209","278932","3972","20306","1384","5870","882","1615","268","687","311","93425","3447","42580","2471","18849","1644","23731","1813"
"0400000US40","Oklahoma","3932870","*****","3514964","*****","2581231","705","280944","2189","285402","2526","84020","1240","5629","272","5195","782","272543","3393","2401","485","270142","3345","417906","*****","262839","3501","5412","712","14219","947","1219","341","631","317","101514","3528","32072","1610","11875","899","20197","1329"
"0400000US41","Oregon","4129803","*****","3592586","*****","3125842","970","75232","1591","38050","1217","178412","1768","15785","717","6055","910","153210","2687","3478","625","149732","2765","537217","*****","355078","5333","3447","498","10010","1209","2168","492","840","348","120532","4742","45142","2777","16877","1709","28265","2276"
"0400000US42","Pennsylvania","12791530","*****","11856314","96","9777163","1349","1363043","4760","14483","852","433115","2431","2616","324","20755","1600","245139","5707","9806","1204","235333","5862","935216","96","523439","6274","67621","3117","10208","1253","3209","534","1582","468","254422","6515","74735","3153","30556","1878","44179","2603"
"0400000US44","Rhode Island","1057231","*****","894005","*****","761432","958","60415","1133","3402","521","35401","877","661","220","7500","922","25194","1523","3187","560","22007","1399","163226","*****","89165","2941","11146","1410","1875","585","557","210","149","150","50307","2734","10027","1387","5057","1044","4970","860"
